Countries,Type,Amount 
Nauru,Balance2016,-25
Nauru,Balance2017,-46
Nauru,Balance2018,-50
Nauru,Balance2019,4
Nauru,Balance2020,-45
Nauru,Exported2020,
Nauru,Imported2020,45
Comoros,Balance2016,-61
Comoros,Balance2017,-60
Comoros,Balance2018,-69
Comoros,Balance2019,-73
Comoros,Balance2020,-59
Comoros,Exported2020,9
Comoros,Imported2020,68
Solomon Islands,Balance2016,-259
Solomon Islands,Balance2017,-370
Solomon Islands,Balance2018,-300
Solomon Islands,Balance2019,-146
Solomon Islands,Balance2020,-75
Solomon Islands,Exported2020,1
Solomon Islands,Imported2020,76
Central African Republic,Balance2016,-1
Central African Republic,Balance2017,-157
Central African Republic,Balance2018,-86
Central African Republic,Balance2019,-101
Central African Republic,Balance2020,-79
Central African Republic,Exported2020,
Central African Republic,Imported2020,79
Tonga,Balance2016,-2880
Tonga,Balance2017,-134
Tonga,Balance2018,-153
Tonga,Balance2019,-127
Tonga,Balance2020,-86
Tonga,Exported2020,1
Tonga,Imported2020,87
Sao Tome and Principe,Balance2016,-129
Sao Tome and Principe,Balance2017,-125
Sao Tome and Principe,Balance2018,-135
Sao Tome and Principe,Balance2019,-104
Sao Tome and Principe,Balance2020,-108
Sao Tome and Principe,Exported2020,1
Sao Tome and Principe,Imported2020,109
Cook Islands,Balance2016,-347
Cook Islands,Balance2017,44
Cook Islands,Balance2018,-382
Cook Islands,Balance2019,-203
Cook Islands,Balance2020,-111
Cook Islands,Exported2020,7
Cook Islands,Imported2020,118
Federated States of Micronesia,Balance2016,0
Federated States of Micronesia,Balance2017,-1
Federated States of Micronesia,Balance2018,-21
Federated States of Micronesia,Balance2019,-41
Federated States of Micronesia,Balance2020,-122
Federated States of Micronesia,Exported2020,4
Federated States of Micronesia,Imported2020,126
Saint Kitts and Nevis,Balance2016,-817
Saint Kitts and Nevis,Balance2017,-714
Saint Kitts and Nevis,Balance2018,-134
Saint Kitts and Nevis,Balance2019,-379
Saint Kitts and Nevis,Balance2020,-130
Saint Kitts and Nevis,Exported2020,2
Saint Kitts and Nevis,Imported2020,132
Anguilla,Balance2016,-906
Anguilla,Balance2017,-561
Anguilla,Balance2018,-326
Anguilla,Balance2019,-213
Anguilla,Balance2020,-131
Anguilla,Exported2020,1
Anguilla,Imported2020,132
British Virgin Islands,Balance2016,-1015
British Virgin Islands,Balance2017,-839
British Virgin Islands,Balance2018,-828
British Virgin Islands,Balance2019,37
British Virgin Islands,Balance2020,-136
British Virgin Islands,Exported2020,758
British Virgin Islands,Imported2020,894
St. Pierre and Miquelon,Balance2016,-170
St. Pierre and Miquelon,Balance2017,-162
St. Pierre and Miquelon,Balance2018,-196
St. Pierre and Miquelon,Balance2019,-123
St. Pierre and Miquelon,Balance2020,-150
St. Pierre and Miquelon,Exported2020,
St. Pierre and Miquelon,Imported2020,150
Dominica,Balance2016,-254
Dominica,Balance2017,-43
Dominica,Balance2018,-112
Dominica,Balance2019,-280
Dominica,Balance2020,-160
Dominica,Exported2020,1
Dominica,Imported2020,161
Saint Vincent and the Grenadines,Balance2016,-726
Saint Vincent and the Grenadines,Balance2017,-624
Saint Vincent and the Grenadines,Balance2018,-709
Saint Vincent and the Grenadines,Balance2019,-672
Saint Vincent and the Grenadines,Balance2020,-192
Saint Vincent and the Grenadines,Exported2020,1
Saint Vincent and the Grenadines,Imported2020,193
Turks and Caicos Islands,Balance2016,-409
Turks and Caicos Islands,Balance2017,-273
Turks and Caicos Islands,Balance2018,-374
Turks and Caicos Islands,Balance2019,-432
Turks and Caicos Islands,Balance2020,-206
Turks and Caicos Islands,Exported2020,54
Turks and Caicos Islands,Imported2020,260
Vanuatu,Balance2016,-290
Vanuatu,Balance2017,-48
Vanuatu,Balance2018,-12
Vanuatu,Balance2019,-259
Vanuatu,Balance2020,-212
Vanuatu,Exported2020,58
Vanuatu,Imported2020,270
Gambia,Balance2016,-86
Gambia,Balance2017,-91
Gambia,Balance2018,-164
Gambia,Balance2019,-103
Gambia,Balance2020,-235
Gambia,Exported2020,
Gambia,Imported2020,235
Liberia,Balance2016,
Liberia,Balance2017,-574
Liberia,Balance2018,-2998
Liberia,Balance2019,-2400
Liberia,Balance2020,-270
Liberia,Exported2020,2
Liberia,Imported2020,272
Demo. Rep. Korea,Balance2016,-3542
Demo. Rep. Korea,Balance2017,-2520
Demo. Rep. Korea,Balance2018,-3323
Demo. Rep. Korea,Balance2019,-3421
Demo. Rep. Korea,Balance2020,-287
Demo. Rep. Korea,Exported2020,314
Demo. Rep. Korea,Imported2020,601
Kiribati,Balance2016,-70
Kiribati,Balance2017,-90
Kiribati,Balance2018,-167
Kiribati,Balance2019,-139
Kiribati,Balance2020,-361
Kiribati,Exported2020,
Kiribati,Imported2020,361
Antigua and Barbuda,Balance2016,-1979
Antigua and Barbuda,Balance2017,-1707
Antigua and Barbuda,Balance2018,-1810
Antigua and Barbuda,Balance2019,-1722
Antigua and Barbuda,Balance2020,-453
Antigua and Barbuda,Exported2020,2
Antigua and Barbuda,Imported2020,455
Uganda,Balance2016,5048
Uganda,Balance2017,-4165
Uganda,Balance2018,-5826
Uganda,Balance2019,-6892
Uganda,Balance2020,-455
Uganda,Exported2020,11020
Uganda,Imported2020,11475
Saint Lucia,Balance2016,-2780
Saint Lucia,Balance2017,-1819
Saint Lucia,Balance2018,-1754
Saint Lucia,Balance2019,-1927
Saint Lucia,Balance2020,-467
Saint Lucia,Exported2020,16
Saint Lucia,Imported2020,483
Chad,Balance2016,-1510
Chad,Balance2017,-2463
Chad,Balance2018,-2397
Chad,Balance2019,-4472
Chad,Balance2020,-560
Chad,Exported2020,6
Chad,Imported2020,566
Sudan (before 2012),Balance2016,
Sudan (before 2012),Balance2017,
Sudan (before 2012),Balance2018,
Sudan (before 2012),Balance2019,
Sudan (before 2012),Balance2020,-581
Sudan (before 2012),Exported2020,
Sudan (before 2012),Imported2020,581
Samoa,Balance2016,-142
Samoa,Balance2017,-123
Samoa,Balance2018,-168
Samoa,Balance2019,-157
Samoa,Balance2020,-600
Samoa,Exported2020,14
Samoa,Imported2020,614
Belize,Balance2016,-881
Belize,Balance2017,-698
Belize,Balance2018,-532
Belize,Balance2019,-1066
Belize,Balance2020,-602
Belize,Exported2020,9
Belize,Imported2020,611
Sierra Leone,Balance2016,-1353
Sierra Leone,Balance2017,-1289
Sierra Leone,Balance2018,-1237
Sierra Leone,Balance2019,-1965
Sierra Leone,Balance2020,-845
Sierra Leone,Exported2020,2
Sierra Leone,Imported2020,847
Niger,Balance2016,998
Niger,Balance2017,1519
Niger,Balance2018,755
Niger,Balance2019,-906
Niger,Balance2020,-881
Niger,Exported2020,165
Niger,Imported2020,1046
Democratic Republic of the Congo,Balance2016,-1447
Democratic Republic of the Congo,Balance2017,-1175
Democratic Republic of the Congo,Balance2018,-1317
Democratic Republic of the Congo,Balance2019,-1137
Democratic Republic of the Congo,Balance2020,-887
Democratic Republic of the Congo,Exported2020,527
Democratic Republic of the Congo,Imported2020,1414
Fiji,Balance2016,-3733
Fiji,Balance2017,-3101
Fiji,Balance2018,-4469
Fiji,Balance2019,-3537
Fiji,Balance2020,-934
Fiji,Exported2020,3608
Fiji,Imported2020,4542
Grenada,Balance2016,-1793
Grenada,Balance2017,
Grenada,Balance2018,-1032
Grenada,Balance2019,-1026
Grenada,Balance2020,-1004
Grenada,Exported2020,1
Grenada,Imported2020,1005
Cabo Verde,Balance2016,-1003
Cabo Verde,Balance2017,-1185
Cabo Verde,Balance2018,-1238
Cabo Verde,Balance2019,-1489
Cabo Verde,Balance2020,-1009
Cabo Verde,Exported2020,
Cabo Verde,Imported2020,1009
Seychelles,Balance2016,-1304
Seychelles,Balance2017,-1375
Seychelles,Balance2018,-1612
Seychelles,Balance2019,-1619
Seychelles,Balance2020,-1152
Seychelles,Exported2020,
Seychelles,Imported2020,1152
French Polynesia,Balance2016,-2711
French Polynesia,Balance2017,-2268
French Polynesia,Balance2018,-2337
French Polynesia,Balance2019,-2421
French Polynesia,Balance2020,-1175
French Polynesia,Exported2020,3041
French Polynesia,Imported2020,4216
Equatorial Guinea,Balance2016,-1535
Equatorial Guinea,Balance2017,-1488
Equatorial Guinea,Balance2018,-2082
Equatorial Guinea,Balance2019,-1821
Equatorial Guinea,Balance2020,-1190
Equatorial Guinea,Exported2020,
Equatorial Guinea,Imported2020,1190
"Bonaire, Sint Eustatius and Saba",Balance2016,-289
"Bonaire, Sint Eustatius and Saba",Balance2017,-703
"Bonaire, Sint Eustatius and Saba",Balance2018,-863
"Bonaire, Sint Eustatius and Saba",Balance2019,-734
"Bonaire, Sint Eustatius and Saba",Balance2020,-1193
"Bonaire, Sint Eustatius and Saba",Exported2020,5
"Bonaire, Sint Eustatius and Saba",Imported2020,1198
Mauritania,Balance2016,-1401
Mauritania,Balance2017,-1210
Mauritania,Balance2018,-1194
Mauritania,Balance2019,-1393
Mauritania,Balance2020,-1218
Mauritania,Exported2020,
Mauritania,Imported2020,1218
Suriname,Balance2016,-1167
Suriname,Balance2017,-1420
Suriname,Balance2018,-1878
Suriname,Balance2019,-1965
Suriname,Balance2020,-1287
Suriname,Exported2020,9
Suriname,Imported2020,1296
Syria,Balance2016,-3634
Syria,Balance2017,-3477
Syria,Balance2018,-5397
Syria,Balance2019,-3976
Syria,Balance2020,-1314
Syria,Exported2020,139
Syria,Imported2020,1453
Timor-Leste,Balance2016,
Timor-Leste,Balance2017,-1341
Timor-Leste,Balance2018,-1486
Timor-Leste,Balance2019,-1907
Timor-Leste,Balance2020,-1432
Timor-Leste,Exported2020,1
Timor-Leste,Imported2020,1433
Papua New Guinea,Balance2016,-6324
Papua New Guinea,Balance2017,-1798
Papua New Guinea,Balance2018,-2325
Papua New Guinea,Balance2019,-1665
Papua New Guinea,Balance2020,-1457
Papua New Guinea,Exported2020,4
Papua New Guinea,Imported2020,1461
Guinea-Bissau,Balance2016,-76
Guinea-Bissau,Balance2017,-126
Guinea-Bissau,Balance2018,-124
Guinea-Bissau,Balance2019,-1729
Guinea-Bissau,Balance2020,-1638
Guinea-Bissau,Exported2020,
Guinea-Bissau,Imported2020,1638
South Sudan,Balance2016,-614
South Sudan,Balance2017,-218
South Sudan,Balance2018,-152
South Sudan,Balance2019,-343
South Sudan,Balance2020,-1708
South Sudan,Exported2020,
South Sudan,Imported2020,1708
Cuba,Balance2016,-4802
Cuba,Balance2017,-4850
Cuba,Balance2018,-5674
Cuba,Balance2019,-2527
Cuba,Balance2020,-1724
Cuba,Exported2020,25
Cuba,Imported2020,1749
Greenland,Balance2016,-919
Greenland,Balance2017,-1136
Greenland,Balance2018,-1646
Greenland,Balance2019,-1886
Greenland,Balance2020,-1738
Greenland,Exported2020,11
Greenland,Imported2020,1749
Bhutan,Balance2016,-1146
Bhutan,Balance2017,-1143
Bhutan,Balance2018,-1317
Bhutan,Balance2019,-1806
Bhutan,Balance2020,-1775
Bhutan,Exported2020,7
Bhutan,Imported2020,1782
Cayman Islands,Balance2016,-1474
Cayman Islands,Balance2017,-1477
Cayman Islands,Balance2018,-1696
Cayman Islands,Balance2019,-2497
Cayman Islands,Balance2020,-2068
Cayman Islands,Exported2020,1
Cayman Islands,Imported2020,2069
Aruba,Balance2016,-8983
Aruba,Balance2017,-8113
Aruba,Balance2018,-8162
Aruba,Balance2019,-5183
Aruba,Balance2020,-2160
Aruba,Exported2020,2108
Aruba,Imported2020,4268
Republic of Congo,Balance2016,-3064
Republic of Congo,Balance2017,-2864
Republic of Congo,Balance2018,-2414
Republic of Congo,Balance2019,-2762
Republic of Congo,Balance2020,-2211
Republic of Congo,Exported2020,146
Republic of Congo,Imported2020,2357
Somalia,Balance2016,-3156
Somalia,Balance2017,-3831
Somalia,Balance2018,-6304
Somalia,Balance2019,-6878
Somalia,Balance2020,-2223
Somalia,Exported2020,15
Somalia,Imported2020,2238
Madagascar,Balance2016,-2131
Madagascar,Balance2017,-2722
Madagascar,Balance2018,-2691
Madagascar,Balance2019,-2654
Madagascar,Balance2020,-2351
Madagascar,Exported2020,69
Madagascar,Imported2020,2420
Mozambique,Balance2016,-2023
Mozambique,Balance2017,-2685
Mozambique,Balance2018,-2808
Mozambique,Balance2019,-3015
Mozambique,Balance2020,-2392
Mozambique,Exported2020,16
Mozambique,Imported2020,2408
Tajikistan,Balance2016,-2331
Tajikistan,Balance2017,-2448
Tajikistan,Balance2018,-2279
Tajikistan,Balance2019,-2280
Tajikistan,Balance2020,-2411
Tajikistan,Exported2020,
Tajikistan,Imported2020,2411
Guyana,Balance2016,-3116
Guyana,Balance2017,-2163
Guyana,Balance2018,-2818
Guyana,Balance2019,-3073
Guyana,Balance2020,-2550
Guyana,Exported2020,11
Guyana,Imported2020,2561
Lesotho,Balance2016,-4029
Lesotho,Balance2017,-4510
Lesotho,Balance2018,-2124
Lesotho,Balance2019,-2582
Lesotho,Balance2020,-2555
Lesotho,Exported2020,765
Lesotho,Imported2020,3320
Bahamas,Balance2016,-7696
Bahamas,Balance2017,-8385
Bahamas,Balance2018,-10658
Bahamas,Balance2019,-4691
Bahamas,Balance2020,-2605
Bahamas,Exported2020,3
Bahamas,Imported2020,2608
Burkina Faso,Balance2016,-2639
Burkina Faso,Balance2017,-2102
Burkina Faso,Balance2018,-2746
Burkina Faso,Balance2019,-2613
Burkina Faso,Balance2020,-2614
Burkina Faso,Exported2020,18
Burkina Faso,Imported2020,2632
Sri Lanka,Balance2016,-12352
Sri Lanka,Balance2017,-10800
Sri Lanka,Balance2018,
Sri Lanka,Balance2019,-6366
Sri Lanka,Balance2020,-2732
Sri Lanka,Exported2020,3695
Sri Lanka,Imported2020,6427
Gabon,Balance2016,-6991
Gabon,Balance2017,-6644
Gabon,Balance2018,-6230
Gabon,Balance2019,-4854
Gabon,Balance2020,-2880
Gabon,Exported2020,3
Gabon,Imported2020,2883
Faroe Islands,Balance2016,-1137
Faroe Islands,Balance2017,-1102
Faroe Islands,Balance2018,-1553
Faroe Islands,Balance2019,-1919
Faroe Islands,Balance2020,-3088
Faroe Islands,Exported2020,11
Faroe Islands,Imported2020,3099
Gibraltar,Balance2016,-4450
Gibraltar,Balance2017,-4335
Gibraltar,Balance2018,-4558
Gibraltar,Balance2019,-5305
Gibraltar,Balance2020,-3092
Gibraltar,Exported2020,18
Gibraltar,Imported2020,3110
Malawi,Balance2016,-2503
Malawi,Balance2017,-3653
Malawi,Balance2018,-4435
Malawi,Balance2019,-3660
Malawi,Balance2020,-3182
Malawi,Exported2020,78
Malawi,Imported2020,3260
Slovenia,Balance2016,6258
Slovenia,Balance2017,-15653
Slovenia,Balance2018,-1109
Slovenia,Balance2019,-6435
Slovenia,Balance2020,-3360
Slovenia,Exported2020,89372
Slovenia,Imported2020,92732
Bermuda,Balance2016,-4068
Bermuda,Balance2017,-3852
Bermuda,Balance2018,-4130
Bermuda,Balance2019,-4099
Bermuda,Balance2020,-3425
Bermuda,Exported2020,
Bermuda,Imported2020,3425
Djibouti,Balance2016,-5840
Djibouti,Balance2017,-5305
Djibouti,Balance2018,-6723
Djibouti,Balance2019,-4424
Djibouti,Balance2020,-3483
Djibouti,Exported2020,3
Djibouti,Imported2020,3486
Jamaica,Balance2016,-4876
Jamaica,Balance2017,-5107
Jamaica,Balance2018,-5827
Jamaica,Balance2019,-6751
Jamaica,Balance2020,-3504
Jamaica,Exported2020,766
Jamaica,Imported2020,4270
Benin,Balance2016,-3463
Benin,Balance2017,-3475
Benin,Balance2018,-3283
Benin,Balance2019,-3757
Benin,Balance2020,-3753
Benin,Exported2020,194
Benin,Imported2020,3947
Afghanistan,Balance2016,0
Afghanistan,Balance2017,-3197
Afghanistan,Balance2018,-3412
Afghanistan,Balance2019,-1903
Afghanistan,Balance2020,-3938
Afghanistan,Exported2020,11
Afghanistan,Imported2020,3949
Barbados,Balance2016,-4829
Barbados,Balance2017,-3022
Barbados,Balance2018,-4271
Barbados,Balance2019,-3891
Barbados,Balance2020,-3994
Barbados,Exported2020,61
Barbados,Imported2020,4055
Turkmenistan,Balance2016,-6796
Turkmenistan,Balance2017,-7828
Turkmenistan,Balance2018,-4477
Turkmenistan,Balance2019,-4476
Turkmenistan,Balance2020,-4145
Turkmenistan,Exported2020,
Turkmenistan,Imported2020,4145
Burundi,Balance2016,-2315
Burundi,Balance2017,-2666
Burundi,Balance2018,-3831
Burundi,Balance2019,-3152
Burundi,Balance2020,-4147
Burundi,Exported2020,11
Burundi,Imported2020,4158
Maldives,Balance2016,-7622
Maldives,Balance2017,-8342
Maldives,Balance2018,-8821
Maldives,Balance2019,-10023
Maldives,Balance2020,-4279
Maldives,Exported2020,116
Maldives,Imported2020,4395
Rwanda,Balance2016,-6636
Rwanda,Balance2017,-7217
Rwanda,Balance2018,-8794
Rwanda,Balance2019,-6493
Rwanda,Balance2020,-4588
Rwanda,Exported2020,257
Rwanda,Imported2020,4845
Tanzania,Balance2016,5561
Tanzania,Balance2017,9372
Tanzania,Balance2018,51976
Tanzania,Balance2019,-4986
Tanzania,Balance2020,-4652
Tanzania,Exported2020,7783
Tanzania,Imported2020,12435
Curaçao,Balance2016,
Curaçao,Balance2017,-5011
Curaçao,Balance2018,-5672
Curaçao,Balance2019,-5211
Curaçao,Balance2020,-5223
Curaçao,Exported2020,454
Curaçao,Imported2020,5677
Eswatini,Balance2016,-4677
Eswatini,Balance2017,-7211
Eswatini,Balance2018,-7423
Eswatini,Balance2019,-6550
Eswatini,Balance2020,-5752
Eswatini,Exported2020,36
Eswatini,Imported2020,5788
Zimbabwe,Balance2016,-9125
Zimbabwe,Balance2017,-7534
Zimbabwe,Balance2018,-7937
Zimbabwe,Balance2019,-2765
Zimbabwe,Balance2020,-5900
Zimbabwe,Exported2020,8
Zimbabwe,Imported2020,5908
Ethiopia,Balance2016,-8452
Ethiopia,Balance2017,-10685
Ethiopia,Balance2018,-8959
Ethiopia,Balance2019,-9350
Ethiopia,Balance2020,-5929
Ethiopia,Exported2020,11
Ethiopia,Imported2020,5940
Cameroon,Balance2016,4944
Cameroon,Balance2017,2782
Cameroon,Balance2018,2775
Cameroon,Balance2019,-4619
Cameroon,Balance2020,-6157
Cameroon,Exported2020,514
Cameroon,Imported2020,6671
Pakistan,Balance2016,-14504
Pakistan,Balance2017,-18208
Pakistan,Balance2018,-20022
Pakistan,Balance2019,-13403
Pakistan,Balance2020,-6341
Pakistan,Exported2020,13084
Pakistan,Imported2020,19425
Sudan,Balance2016,-6031
Sudan,Balance2017,-7805
Sudan,Balance2018,-7031
Sudan,Balance2019,-9237
Sudan,Balance2020,-6367
Sudan,Exported2020,37
Sudan,Imported2020,6404
Zambia,Balance2016,-5844
Zambia,Balance2017,-6737
Zambia,Balance2018,-7742
Zambia,Balance2019,-7271
Zambia,Balance2020,-6508
Zambia,Exported2020,626
